Date,Symbol,Expiration,Strike,Call/Put,Bid,Ask,Mid,IV,Delta,Gamma,Theta,Vega
2021-03-25,ARKK,2022-01-21,96.96,Put,10.90,12.00,11.45,0.5340,-.26,.01,-.03,.34
2021-03-25,ARKK,2022-01-21,97.96,Put,11.30,12.40,11.85,0.5331,-.27,.01,-.03,.34
2021-03-25,ARKK,2022-01-21,98.96,Put,11.70,12.80,12.25,0.5320,-.28,.01,-.03,.35
2021-03-25,ARKK,2022-01-21,100,Put,12.10,13.10,12.60,0.5287,-.28,.01,-.03,.35
2021-03-25,ARKK,2022-01-21,102.96,Put,13.40,14.60,14.00,0.5295,-.30,.01,-.03,.36
2021-03-25,ARKK,2022-01-21,105,Put,14.40,15.20,14.80,0.5245,-.32,.01,-.03,.37
2021-03-25,ARKK,2022-01-21,107.96,Put,15.80,17.00,16.40,0.5276,-.34,.01,-.03,.38
2021-03-25,ARKK,2022-01-21,110,Put,16.80,17.40,17.10,0.5182,-.36,.01,-.03,.39
2021-03-25,ARKK,2022-01-21,112.96,Put,18.30,19.10,18.70,0.5183,-.38,.01,-.03,.40
2021-03-25,ARKK,2022-01-21,115,Put,19.40,20.60,20.00,0.5224,-.39,.01,-.03,.40
2021-03-25,ARKK,2022-01-21,117.96,Put,21.10,22.50,21.80,0.5248,-.41,.01,-.03,.40
2021-03-25,ARKK,2022-01-21,120,Put,22.30,23.70,23.00,0.5245,-.43,.01,-.03,.41
2021-03-25,ARKK,2022-01-21,122.96,Put,24.10,25.50,24.80,0.5243,-.45,.01,-.03,.41
2021-03-25,ARKK,2022-01-21,125,Put,25.40,26.80,26.10,0.5248,-.46,.01,-.03,.41
2021-03-25,ARKK,2022-01-21,127.96,Put,27.10,28.70,27.90,0.5222,-.49,.01,-.03,.41
2021-03-25,ARKK,2022-01-21,130,Put,28.60,29.90,29.25,0.5224,-.50,.01,-.03,.41
2021-03-25,ARKK,2022-01-21,132.96,Put,30.60,31.90,31.25,0.5225,-.52,.01,-.03,.41
