date,symbol,open,high,low,close
2020-11-06,ARKK,101.1500015258789,102.62999725341797,99.61000061035156,102.08000183105469
2020-11-09,ARKK,105.0,105.5,97.37999725341797,97.43000030517578
2020-11-10,ARKK,97.26000213623047,97.62000274658203,91.80000305175781,94.76000213623047
2020-11-11,ARKK,96.79000091552734,98.77999877929688,96.01000213623047,98.7300033569336
2020-11-12,ARKK,99.5999984741211,100.4000015258789,98.31999969482422,98.88999938964844
2020-11-13,ARKK,99.94999694824219,100.68000030517578,98.69999694824219,99.4000015258789
2020-11-16,ARKK,99.6500015258789,99.98999786376953,98.2020034790039,99.54000091552734
2020-11-17,ARKK,100.6500015258789,101.25,99.63999938964844,101.2300033569336
2020-11-18,ARKK,101.5,102.41999816894531,100.56300354003906,101.0199966430664
2020-11-19,ARKK,101.23999786376953,103.8740005493164,101.23999786376953,103.26000213623047
2020-11-20,ARKK,103.79000091552734,105.5,103.17400360107422,104.9000015258789
2020-11-23,ARKK,106.2699966430664,108.27999877929688,105.5999984741211,107.41999816894531
2020-11-24,ARKK,109.08000183105469,109.38999938964844,105.91000366210938,106.13999938964844
2020-11-25,ARKK,106.41000366210938,108.54000091552734,105.91999816894531,108.4800033569336
2020-11-27,ARKK,109.8499984741211,111.82599639892578,109.09400177001953,111.77999877929688
2020-11-30,ARKK,113.66000366210938,113.76000213623047,108.80000305175781,112.37000274658203
2020-12-01,ARKK,114.0,114.19999694824219,112.13800048828125,112.76000213623047
2020-12-02,ARKK,111.45999908447266,112.47000122070312,109.5999984741211,112.33999633789062
2020-12-03,ARKK,113.5199966430664,115.55000305175781,112.94999694824219,114.27999877929688
2020-12-04,ARKK,115.83999633789062,117.36000061035156,114.76000213623047,117.19000244140625
2020-12-07,ARKK,119.01000213623047,122.0199966430664,118.27999877929688,120.68000030517578
2020-12-08,ARKK,121.2699966430664,122.91000366210938,120.1500015258789,122.16999816894531
2020-12-09,ARKK,123.87999725341797,125.52999877929688,118.76000213623047,119.9800033569336
2020-12-10,ARKK,117.75,125.31999969482422,117.72000122070312,125.19999694824219
2020-12-11,ARKK,124.94000244140625,125.83999633789062,121.68000030517578,123.87000274658203
2020-12-14,ARKK,126.08999633789062,127.6500015258789,124.19999694824219,124.25
2020-12-15,ARKK,126.44999694824219,126.44999694824219,123.23999786376953,124.30000305175781
2020-12-16,ARKK,124.69999694824219,125.12999725341797,122.52200317382812,123.94999694824219
2020-12-17,ARKK,125.33999633789062,126.54000091552734,124.79000091552734,126.06999969482422
2020-12-18,ARKK,127.56999969482422,128.19900512695312,125.94000244140625,127.30000305175781
